rank,title,summary,tags,interest_count,rating,gender,ages
56,퇴마록 : 국내편,"대한민국에 신드롬을 일으키며 판매 누적부수 1,000만부 이상을 기록한 대작 판타지를 이제 웹툰으로 만난다.

물귀신에게 동생을 잃고 귀신과 싸우기 위해 태극기공을 수련하게 되는 현암.
미지의 악령으로부터 친구의 딸을 구하지 못해 고행의 길을 걷는 사제를 택한 박신부.
해동밀교의 유일한 생존자로 밀교 5대 호법의 모든 주술을 물려받은 천재소년 준후.
아버지로 인해 미스터리한 사건에 휘말리게 된 숨겨진 비밀을 가지고 있는 승희.

인간의 영적, 정신적 세계를 지배하여 사회를 혼란과 범죄의 온상으로 몰아가는 악한 마귀들을
각자의 사연을 지닌 퇴마사들이 함께 싸우며 해결해 나가는 오컬트 판타지.","['소설원작', '오컬트', '서스펜스', '완결액션', '액션']",170401,9.93,남성,20대
57,칼에 취한 밤을 걷다,"진소한은 본디 고아 출신이었으나, 
현월검무단이 거두어 그녀들과 어린 시절을 함께 보낸다. 
하지만 어느 날 그의 특수한 신체 특성을 알아본 사대악인 중 하나인 독마에게 납치당하고, 
온갖 실험 끝에 결국 제자로까지 키워지게 된다. 
10년 뒤, 그는 현월검무단의 흔적을 찾아보려 하지만, 
검무단은 이미 고향을 지배하는 흑도들의 손에 사라져 버렸는데!","['사이다', '동양', '모험', '자극적인', '악역이주인공', '무협/사극', '액션', '참교육']",174541,9.93,남성,10대
58,천마육성,"마교의 태왕각주 ‘사마귀’의 명령으로 화산파 출목지역으로 파견나간 비객조.
‘설휘’는 화산파의 절대고수 ‘구종명’에게 죽임을 당할 위기에 처한다.
그 때 눈앞에 상태창이 나타나고 정찰임무를 받기 직전으로 회귀하게 된다.
설휘는 자신이 전생에서 죽임을 당했던 똑같은 임무를 받게 되자 주변의 환경을 조금이라도 바꾸어 살아남고자 발버둥친다.
고비마다 눈앞에 나타나는 선택창, 미래를 알 수 없는 지문들. 삶과 죽음이 공존하는 세상 안에서 최선의 방법을 찾아 나선다.","['상태창', '동양', '자극적인', '게임', '악역이주인공', '무협/사극', '액션', '시리어스']",256123,9.91,남성,20대
59,무직백수 계백순,"해둔 것도 없고, 스펙도 평범, 통장 잔고는 늘 만원 이하.
등골 브레이커 계백순은 과연 백수에서 탈출할 수 있을까?","['요즘핫한추천작', '개그']",257374,9.85,남성,20대
60,66666년 만에 환생한 흑마법사,"강대했던 흑마법사 디아블로 볼피르.
12신의 계략에 당해 억겁 속에 봉인되었지만,
그로부터 66666년이 흘러 다시금 이 땅에 강림한다!
""응애!""
웰턴 백작의 갓 태어난 장남으로.
딥다크 매직 판타지 시작!","['환생', '중세판타지액션', '서양', '신화', '마법', '성장물', '먼치킨', '판타지']",424302,9.93,남성,20대
61,종말에서 살아남기,"평생 지하실에 감금되어 훈련받은 소년.
그리고 그를 가둔 미치광이 아빠가 하는 말
""종말이 온다.""
지금껏 수없이 반복해온 훈련과 생존 지식으로
종말에서 살아남아야만 한다.","['생존', '크리처', '액션', '스릴러', '서바이벌', '판타지', '시리어스']",180497,9.87,남성,20대
62,유사연애,"연애는 싫지만 스킨십은 하고 싶은 솔로 1년차 '윤재'. 윤재네 회사에 누가 봐도 인기 있어 보이는 '민석'이 입사한다. 
윤재에게 따로 술을 먹자고도 하지만 잘들어갔냐는 문자는 없고, 아무렇지 않게 듣기 좋은 말을 해대면서도 선을 긋는 듯한 애매모호한 태도의 민석. 
밥도 먹고 영화도 보고 스킨십도 하지만, 사귀지는 않는 우리는 과연 무슨 사이일까? 30대 우리의 연애 아닌 그 어떤 것.","['리얼로맨스', '로맨스', '요즘핫한추천작', '고자극로맨스', '자극적인', '폭스남']",284596,9.86,여성,10대
63,원포인트,"“내가 빛나지 않아도 좋아, 경기에서 이긴 후 우리 팀을 주인공으로 만든다.”

고등학교 입학과 동시에 마주한 배구부의 모습에 실망한 ‘이재혁’, “이런 게, 배구부라고..?”
재혁은 어릴 적부터 함께 해온 ‘도민환’, 배구부의 악행에 질려버린 ‘김단우’와 함께 직접 팀을 꾸리기로 결심한다.
개성 넘치는 팀원들이 한 명씩 모이기 시작하고 서로 다른 친구들이 모여
하나의 목표를 향해 달려간다. 목표는 최정상!!","['열혈', '스포츠', '스포츠성장', '청춘', '동아리', '성장물', '학원물', '완결무료']",33881,9.82,남성,20대
64,교육자,"교육자은 삶의 무게와 희망 사이에서 고민하는 인물들의 이야기를 그린다. 액션, 사이다 요소가 더해져 더욱 흥미롭다.","['드라마', '판타지', '일상', '액션', '사이다', '먼치킨']",962374,9.8,남성,10대
65,이기적 연애론,"""넌 어떨까? 내가 다른 남자와 행복하게 있는 걸 보면."" 평범한 30대인 '유민'과 '현도'. 모종의 이유로 각자의 연인에게 헤어짐을 고했지만, 사실은 누구보다 미련이 넘치는 두 사람. 전 연인이 자신을 붙잡아 줬으면 하는 이기적인 마음이 통한 두 사람은 '계획'을 세운다. 그건 바로, 가짜 데이트를 하며 서로의 전 연인을 자극해 보는 것! 이기적이고 어리석은 이들의 계획은 성공할 수 있을까?","['리얼로맨스', '로맨스', '전남친', '감성적인', '청춘로맨스', '청춘', '계약연애', '무심남']",342285,9.94,여성,10대
66,은탄,"흡혈귀와 요괴, 무당이 창궐한 혼란의 조선, 자신을 암흑어사라 칭하는 박문수가 타락한 관아를 파괴하고 다닌다. 다급해진 조정에서는 흡혈귀 왕의 부활을 노리는 암흑어사 박문수를 토벌하라 명하기 위해 갓 무과에 급제한 무관 안손에게 도술과 무술에 능한 도적 홍킬동을 찾아오라 태백산으로 파견한다. <하이브>의 김규삼 작가가 선사하는 요괴 퇴마 개그 판타지 시대극!","['오컬트', '다크히어로', '먼치킨', '무협/사극', '판타지', '동양풍판타지']",139379,9.95,남성,20대
67,445KM,"현실적인 갈등과 인간관계를 다룬 445KM은 깊은 감동을 선사한다. 생존, 모험 요소가 더해져 더욱 흥미롭다.","['드라마', '액션', '감성', '생존', '모험', '아포칼립스']",33888,9.8,남성,40대
